Account Number|Account Name|Account Category 1|Account Category 2|Account Category 3|Account Category 4|Account Category 5|Account Full
1110|Account Dog Bank|Balance sheet|Assets|Current assets|Cash & Cash Equivalents||1110 Account Dog Bank
1120|Account Cat Bank|Balance sheet|Assets|Current assets|Cash & Cash Equivalents||1120 Account Cat Bank
1130|Account Kangaroo Bank|Balance sheet|Assets|Current assets|Cash & Cash Equivalents||1130 Account Kangaroo Bank
1210|Receivables Labrador State|Balance sheet|Assets|Current assets|Receievables||1210 Receivables Labrador State
1220|Receivables Poodle State|Balance sheet|Assets|Current assets|Receievables||1220 Receivables Poodle State
1230|Receivables Staffie State|Balance sheet|Assets|Current assets|Receievables||1230 Receivables Staffie State
1310|Inventory Dog Food|Balance sheet|Assets|Current assets|Inventory||1310 Inventory Dog Food
1320|Inventory Cat Toys|Balance sheet|Assets|Current assets|Inventory||1320 Inventory Cat Toys
1330|Inventory Fish Tanks|Balance sheet|Assets|Current assets|Inventory||1330 Inventory Fish Tanks
1410|Buildings|Balance sheet|Assets|Non-current assets|Fixed Assets||1410 Buildings
1420|Furntiure|Balance sheet|Assets|Non-current assets|Fixed Assets||1420 Furntiure
1430|Servers|Balance sheet|Assets|Non-current assets|Fixed Assets||1430 Servers
1440|Computers|Balance sheet|Assets|Non-current assets|Fixed Assets||1440 Computers
1510|Brand|Balance sheet|Assets|Non-current assets|Intangible Assets||1510 Brand
2110|Dog Bank overdraft|Balance sheet|Liabilities|Current liabilities|Bank overdrafts||2110 Dog Bank overdraft
2120|Cat Bank overdraft|Balance sheet|Liabilities|Current liabilities|Bank overdrafts||2120 Cat Bank overdraft
2210|Creditors for dog goods|Balance sheet|Liabilities|Current liabilities|creditors||2210 Creditors for dog goods
2220|Creditors for cat goods|Balance sheet|Liabilities|Current liabilities|creditors||2220 Creditors for cat goods
2310|Loan - Shark 1|Balance sheet|Liabilities|non-current liabilities|Loans||2310 Loan - Shark 1
2320|Loan - Shark 2|Balance sheet|Liabilities|non-current liabilities|Loans||2320 Loan - Shark 2
3110|Share capital|Balance sheet|Equity||||3110 Share capital
3120|Retained Earnings|Balance sheet|Equity||||3120 Retained Earnings
4110|Sales dog goods|Profit and loss|Sales||||4110 Sales dog goods
4120|Sales cat goods|Profit and loss|Sales||||4120 Sales cat goods
4130|Interest received|Profit and loss|Sales||||4130 Interest received
4210|Cost of sales dog goods|Profit and loss|Cost of Sales||||4210 Cost of sales dog goods
4220|Cost of sales cat goods|Profit and loss|Cost of Sales||||4220 Cost of sales cat goods
4310|Salaries|Profit and loss|Expenses|Employee Benefits|||4310 Salaries
4320|Retirement benefits|Profit and loss|Expenses|Employee Benefits|||4320 Retirement benefits
4330|Bonuses|Profit and loss|Expenses|Employee Benefits|||4330 Bonuses
4410|Rent|Profit and loss|Expenses|Property Expenses|||4410 Rent
4420|Building maintentance|Profit and loss|Expenses|Property Expenses|||4420 Building maintentance
4430|Rates|Profit and loss|Expenses|Property Expenses|||4430 Rates
4510|TV advertising|Profit and loss|Expenses|Marketing|||4510 TV advertising
4520|SEO consultants|Profit and loss|Expenses|Marketing|||4520 SEO consultants
4530|Sky writing|Profit and loss|Expenses|Marketing|||4530 Sky writing
5110|Income tax expense|Profit and loss|Income Taxes||||5110 Income tax expense
