EndOfMonth|Jnl ID|Account Code|Jnl Description|Jnl Amount
31/01/2018|1-0000000000|4110|Labrador Sales|-51698.59
31/01/2018|1-0000000000|1210|Labrador Sales|51698.59
31/01/2018|1-0000000001|4110|Labrador Sales|-51515.93
31/01/2018|1-0000000001|1210|Labrador Sales|51515.93
31/01/2018|1-0000000002|4110|Labrador Sales|-52268.46
31/01/2018|1-0000000002|1210|Labrador Sales|52268.46
31/01/2018|1-0000000003|4110|Labrador Sales|-52450.45
31/01/2018|1-0000000003|1210|Labrador Sales|52450.45
31/01/2018|1-0000000004|4110|Labrador Sales|-49715.12
31/01/2018|1-0000000004|1210|Labrador Sales|49715.12
31/01/2018|1-0000000005|4110|Labrador Sales|-48263.36
31/01/2018|1-0000000005|1210|Labrador Sales|48263.36
31/01/2018|1-0000000006|4110|Labrador Sales|-50263.4
31/01/2018|1-0000000006|1210|Labrador Sales|50263.4
31/01/2018|1-0000000007|4110|Labrador Sales|-50816.52
31/01/2018|1-0000000007|1210|Labrador Sales|50816.52
31/01/2018|1-0000000008|4110|Labrador Sales|-52058.15
31/01/2018|1-0000000008|1210|Labrador Sales|52058.15
31/01/2018|1-0000000009|4110|Labrador Sales|-48801.43
31/01/2018|1-0000000009|1210|Labrador Sales|48801.43
31/01/2018|1-0000000010|4110|Labrador Sales|-47754.88
31/01/2018|1-0000000010|1210|Labrador Sales|47754.88
31/01/2018|1-0000000011|4110|Labrador Sales|-49210.66
31/01/2018|1-0000000011|1210|Labrador Sales|49210.66
31/01/2018|1-0000000012|4110|Labrador Sales|-50453.97
31/01/2018|1-0000000012|1210|Labrador Sales|50453.97
31/01/2018|1-0000000013|4110|Labrador Sales|-50013.4
31/01/2018|1-0000000013|1210|Labrador Sales|50013.4
31/01/2018|1-0000000014|4110|Labrador Sales|-51575.33
31/01/2018|1-0000000014|1210|Labrador Sales|51575.33
31/01/2018|1-0000000015|4110|Labrador Sales|-50480.07
31/01/2018|1-0000000015|1210|Labrador Sales|50480.07
31/01/2018|1-0000000016|4110|Labrador Sales|-50727.44
31/01/2018|1-0000000016|1210|Labrador Sales|50727.44
31/01/2018|1-0000000017|4110|Labrador Sales|-48485.98
31/01/2018|1-0000000017|1210|Labrador Sales|48485.98
31/01/2018|1-0000000018|4110|Labrador Sales|-51260.6
31/01/2018|1-0000000018|1210|Labrador Sales|51260.6
31/01/2018|1-0000000019|4110|Labrador Sales|-47739.85
31/01/2018|1-0000000019|1210|Labrador Sales|47739.85
31/01/2018|10-0000000093|2220|Cash Payments|5727.6
31/01/2018|10-0000000093|1120|Cash Payments|-5727.6
31/01/2018|10-0000000094|2220|Cash Payments|6028.28
31/01/2018|10-0000000094|1120|Cash Payments|-6028.28
31/01/2018|10-0000000095|2220|Cash Payments|5846.57
31/01/2018|10-0000000095|1120|Cash Payments|-5846.57
31/01/2018|10-0000000096|1120|Cash Payments|-5998.66
31/01/2018|10-0000000096|2220|Cash Payments|5998.66
31/01/2018|10-0000000097|2220|Cash Payments|6046.57
31/01/2018|10-0000000097|1120|Cash Payments|-6046.57
31/01/2018|2-0000000020|1230|Cat food sales|43333.33
31/01/2018|2-0000000020|4120|Cat food sales|-43333.33
31/01/2018|2-0000000021|1230|Cat food sales|43333.33
31/01/2018|2-0000000021|4120|Cat food sales|-43333.33
31/01/2018|2-0000000022|4120|Cat food sales|-43333.33
31/01/2018|2-0000000022|1230|Cat food sales|43333.33
31/01/2018|3-0000000023|1110|Interest Received|149691.84
31/01/2018|3-0000000023|4130|Interest Received|-149691.84
31/01/2018|4-0000000024|1210|Cash Receipts|-48213.98
31/01/2018|4-0000000024|1110|Cash Receipts|48213.98
31/01/2018|4-0000000025|1210|Cash Receipts|-50589.47
31/01/2018|4-0000000025|1110|Cash Receipts|50589.47
31/01/2018|4-0000000026|1110|Cash Receipts|48264.36
31/01/2018|4-0000000026|1210|Cash Receipts|-48264.36
31/01/2018|4-0000000027|1110|Cash Receipts|48929.79
31/01/2018|4-0000000027|1210|Cash Receipts|-48929.79
31/01/2018|4-0000000028|1210|Cash Receipts|-52233.32
31/01/2018|4-0000000028|1110|Cash Receipts|52233.32
31/01/2018|4-0000000029|1110|Cash Receipts|48877.06
31/01/2018|4-0000000029|1210|Cash Receipts|-48877.06
31/01/2018|4-0000000030|1210|Cash Receipts|-47901.89
31/01/2018|4-0000000030|1110|Cash Receipts|47901.89
31/01/2018|4-0000000031|1110|Cash Receipts|50014.88
31/01/2018|4-0000000031|1210|Cash Receipts|-50014.88
31/01/2018|4-0000000032|1210|Cash Receipts|-47547.36
31/01/2018|4-0000000032|1110|Cash Receipts|47547.36
31/01/2018|4-0000000033|1110|Cash Receipts|51930.01
31/01/2018|4-0000000033|1210|Cash Receipts|-51930.01
31/01/2018|4-0000000034|1210|Cash Receipts|-51079.98
31/01/2018|4-0000000034|1110|Cash Receipts|51079.98
31/01/2018|4-0000000035|1210|Cash Receipts|-50493.22
31/01/2018|4-0000000035|1110|Cash Receipts|50493.22
31/01/2018|4-0000000036|1210|Cash Receipts|-50170.44
31/01/2018|4-0000000036|1110|Cash Receipts|50170.44
31/01/2018|4-0000000037|1210|Cash Receipts|-47540.05
31/01/2018|4-0000000037|1110|Cash Receipts|47540.05
31/01/2018|4-0000000038|1110|Cash Receipts|47868.62
31/01/2018|4-0000000038|1210|Cash Receipts|-47868.62
31/01/2018|4-0000000039|1110|Cash Receipts|51519.4
31/01/2018|4-0000000039|1210|Cash Receipts|-51519.4
31/01/2018|4-0000000040|1110|Cash Receipts|52079.52
31/01/2018|4-0000000040|1210|Cash Receipts|-52079.52
31/01/2018|4-0000000041|1210|Cash Receipts|-47779.94
31/01/2018|4-0000000041|1110|Cash Receipts|47779.94
31/01/2018|4-0000000042|1110|Cash Receipts|49264.68
31/01/2018|4-0000000042|1210|Cash Receipts|-49264.68
31/01/2018|4-0000000043|1110|Cash Receipts|49282.54
31/01/2018|4-0000000043|1210|Cash Receipts|-49282.54
31/01/2018|5-0000000044|1120|Cash Receipts|43333.33
31/01/2018|5-0000000044|1230|Cash Receipts|-43333.33
31/01/2018|5-0000000045|1230|Cash Receipts|-43333.33
31/01/2018|5-0000000045|1120|Cash Receipts|43333.33
31/01/2018|5-0000000046|1230|Cash Receipts|-43333.33
31/01/2018|5-0000000046|1120|Cash Receipts|43333.33
31/01/2018|6-0000000047|1130|Salaries|-400000
31/01/2018|6-0000000047|4310|Salaries|400000
31/01/2018|7-0000000048|4210|Cost Of Sales Dog Food|9901.68
31/01/2018|7-0000000048|2210|Cost Of Sales Dog Food|-9901.68
31/01/2018|7-0000000049|4210|Cost Of Sales Dog Food|10276.62
31/01/2018|7-0000000049|2210|Cost Of Sales Dog Food|-10276.62
31/01/2018|7-0000000050|4210|Cost Of Sales Dog Food|10499.7
31/01/2018|7-0000000050|2210|Cost Of Sales Dog Food|-10499.7
31/01/2018|7-0000000051|2210|Cost Of Sales Dog Food|-9905.02
31/01/2018|7-0000000051|4210|Cost Of Sales Dog Food|9905.02
31/01/2018|7-0000000052|4210|Cost Of Sales Dog Food|9520.3
31/01/2018|7-0000000052|2210|Cost Of Sales Dog Food|-9520.3
31/01/2018|7-0000000053|2210|Cost Of Sales Dog Food|-9581.48
31/01/2018|7-0000000053|4210|Cost Of Sales Dog Food|9581.48
31/01/2018|7-0000000054|4210|Cost Of Sales Dog Food|10218.28
31/01/2018|7-0000000054|2210|Cost Of Sales Dog Food|-10218.28
31/01/2018|7-0000000055|2210|Cost Of Sales Dog Food|-10261.13
