EndOfMonth|Jnl ID|Account Number|Jnl Description|Jnl Amount
31/01/2018|001-0000000000|1210|Labrador Sales|48128.307392182
31/01/2018|001-0000000000|4110|Labrador Sales|-48128.307392182
31/01/2018|001-0000000001|1210|Labrador Sales|49100.1498310827
31/01/2018|001-0000000001|4110|Labrador Sales|-49100.1498310827
31/01/2018|001-0000000002|1210|Labrador Sales|50885.7832888075
31/01/2018|001-0000000002|4110|Labrador Sales|-50885.7832888075
31/01/2018|001-0000000003|1210|Labrador Sales|47824.8261452302
31/01/2018|001-0000000003|4110|Labrador Sales|-47824.8261452302
31/01/2018|001-0000000004|1210|Labrador Sales|52073.215574293
31/01/2018|001-0000000004|4110|Labrador Sales|-52073.215574293
31/01/2018|001-0000000005|1210|Labrador Sales|51325.0150363078
31/01/2018|001-0000000005|4110|Labrador Sales|-51325.0150363078
31/01/2018|001-0000000006|1210|Labrador Sales|47637.0370085989
31/01/2018|001-0000000006|4110|Labrador Sales|-47637.0370085989
31/01/2018|001-0000000007|1210|Labrador Sales|49007.289270641
31/01/2018|001-0000000007|4110|Labrador Sales|-49007.289270641
31/01/2018|001-0000000008|1210|Labrador Sales|52357.3374607867
31/01/2018|001-0000000008|4110|Labrador Sales|-52357.3374607867
31/01/2018|001-0000000009|1210|Labrador Sales|48081.1420109035
31/01/2018|001-0000000009|4110|Labrador Sales|-48081.1420109035
31/01/2018|001-0000000010|1210|Labrador Sales|49986.7038789609
31/01/2018|001-0000000010|4110|Labrador Sales|-49986.7038789609
31/01/2018|001-0000000011|1210|Labrador Sales|52090.9486755687
31/01/2018|001-0000000011|4110|Labrador Sales|-52090.9486755687
31/01/2018|001-0000000012|1210|Labrador Sales|48498.1867838643
31/01/2018|001-0000000012|4110|Labrador Sales|-48498.1867838643
31/01/2018|001-0000000013|1210|Labrador Sales|49640.6677910782
31/01/2018|001-0000000013|4110|Labrador Sales|-49640.6677910782
31/01/2018|001-0000000014|1210|Labrador Sales|51651.7449259533
31/01/2018|001-0000000014|4110|Labrador Sales|-51651.7449259533
31/01/2018|001-0000000015|1210|Labrador Sales|51715.749343492
31/01/2018|001-0000000015|4110|Labrador Sales|-51715.749343492
31/01/2018|001-0000000016|1210|Labrador Sales|51523.718265362
31/01/2018|001-0000000016|4110|Labrador Sales|-51523.718265362
31/01/2018|001-0000000017|1210|Labrador Sales|50385.6699135553
31/01/2018|001-0000000017|4110|Labrador Sales|-50385.6699135553
31/01/2018|001-0000000018|1210|Labrador Sales|51773.5169032931
31/01/2018|001-0000000018|4110|Labrador Sales|-51773.5169032931
31/01/2018|001-0000000019|1210|Labrador Sales|51076.3282624894
31/01/2018|001-0000000019|4110|Labrador Sales|-51076.3282624894
31/01/2018|002-0000000020|1220|Poodle Sales|30000
31/01/2018|002-0000000020|4110|Poodle Sales|-30000
31/01/2018|002-0000000021|1220|Poodle Sales|30000
31/01/2018|002-0000000021|4110|Poodle Sales|-30000
31/01/2018|002-0000000022|1220|Poodle Sales|30000
31/01/2018|002-0000000022|4110|Poodle Sales|-30000
31/01/2018|002-0000000023|1220|Poodle Sales|30000
31/01/2018|002-0000000023|4110|Poodle Sales|-30000
31/01/2018|002-0000000024|1220|Poodle Sales|30000
31/01/2018|002-0000000024|4110|Poodle Sales|-30000
