EndOfMonth|Account Code|Amount
31/01/2018|1110|125481885.91
31/01/2018|1120|75714748.31
31/01/2018|1130|24146145
31/01/2018|1210|21439382.08
31/01/2018|1220|5633158
31/01/2018|1230|64745515
31/01/2018|1310|54363775
31/01/2018|1320|3124301
31/01/2018|1330|2356633
31/01/2018|1410|500000392
31/01/2018|1420|124521667
31/01/2018|1430|14526528
31/01/2018|1440|23523592
31/01/2018|1510|70000605
31/01/2018|2110|-1244476
31/01/2018|2120|-1451943
31/01/2018|2210|-14121468.96
31/01/2018|2220|-852068.89
31/01/2018|2310|-149999314
31/01/2018|2320|-49999672
31/01/2018|3110|-399999661
31/01/2018|3120|-491253746
31/01/2018|4110|-1005553.59
31/01/2018|4120|-129999.99
31/01/2018|4130|-149691.84
31/01/2018|4310|400000
31/01/2018|4210|199314.4
31/01/2018|4220|29953.57
28/02/2018|1110|126431724.73
28/02/2018|1120|75815799.03
28/02/2018|1130|23745158.49
28/02/2018|1210|21462434.84
28/02/2018|1220|5633158
28/02/2018|1230|64745515
28/02/2018|1310|54363775
28/02/2018|1320|3124301
28/02/2018|1330|2356633
28/02/2018|1410|500000392
28/02/2018|1420|124521667
28/02/2018|1430|14526528
28/02/2018|1440|23523592
28/02/2018|1510|70000605
28/02/2018|2110|-1244476
28/02/2018|2120|-1451943
28/02/2018|2210|-14119680.62
28/02/2018|2220|-852115.02
28/02/2018|2310|-149999314
28/02/2018|2320|-49999672
28/02/2018|3110|-399999661
28/02/2018|3120|-491253746
28/02/2018|4110|-2028539.46
28/02/2018|4120|-261036.63
28/02/2018|4130|-302932.4
28/02/2018|4310|800986.51
28/02/2018|4210|400860.91
28/02/2018|4220|59985.62
31/03/2018|1110|127404140.61
31/03/2018|1120|75917426.16
31/03/2018|1130|23343183.04
31/03/2018|1210|21450631.76
31/03/2018|1220|5633158
31/03/2018|1230|64745515
31/03/2018|1310|54363775
31/03/2018|1320|3124301
31/03/2018|1330|2356633
31/03/2018|1410|500000392
31/03/2018|1420|124521667
31/03/2018|1430|14526528
31/03/2018|1440|23523592
31/03/2018|1510|70000605
31/03/2018|2110|-1244476
31/03/2018|2120|-1451943
31/03/2018|2210|-14117752.8
31/03/2018|2220|-851150.12
31/03/2018|2310|-149999314
31/03/2018|2320|-49999672
31/03/2018|3110|-399999661
31/03/2018|3120|-491253746
31/03/2018|4110|-3039180.66
31/03/2018|4120|-393118.17
31/03/2018|4130|-456053.93
31/03/2018|4310|1202961.96
31/03/2018|4210|602083.02
31/03/2018|4220|89475.13
30/04/2018|1110|128386136.28
30/04/2018|1120|76020061.06
30/04/2018|1130|22940216.21
30/04/2018|1210|21437834.18
30/04/2018|1220|5633158
30/04/2018|1230|64745515
30/04/2018|1310|54363775
30/04/2018|1320|3124301
30/04/2018|1330|2356633
30/04/2018|1410|500000392
30/04/2018|1420|124521667
30/04/2018|1430|14526528
30/04/2018|1440|23523592
30/04/2018|1510|70000605
30/04/2018|2110|-1244476
30/04/2018|2120|-1451943
30/04/2018|2210|-14116509.03
30/04/2018|2220|-850698.53
30/04/2018|2310|-149999314
30/04/2018|2320|-49999672
30/04/2018|3110|-399999661
30/04/2018|3120|-491253746
30/04/2018|4110|-4065710.38
30/04/2018|4120|-526252.95
30/04/2018|4130|-604736.91
30/04/2018|4310|1605928.79
30/04/2018|4210|806853.86
30/04/2018|4220|119523.42
31/05/2018|1110|129365137.81
31/05/2018|1120|76123844.86
31/05/2018|1130|22536255.56
31/05/2018|1210|21235858.97
31/05/2018|1220|5633158
31/05/2018|1230|64745515
31/05/2018|1310|54363775
31/05/2018|1320|3124301
31/05/2018|1330|2356633
31/05/2018|1410|500000392
31/05/2018|1420|124521667
31/05/2018|1430|14526528
31/05/2018|1440|23523592
31/05/2018|1510|70000605
31/05/2018|2110|-1244476
31/05/2018|2120|-1451943
31/05/2018|2210|-14113981.22
31/05/2018|2220|-850251.85
31/05/2018|2310|-149999314
31/05/2018|2320|-49999672
31/05/2018|3110|-399999661
31/05/2018|3120|-491253746
31/05/2018|4110|-4894565.91
31/05/2018|4120|-660449.37
31/05/2018|4130|-757889.03
31/05/2018|4310|2009889.44
31/05/2018|4210|1009307.38
31/05/2018|4220|149489.36
30/06/2018|1110|130352624.14
30/06/2018|1120|76228322.02
30/06/2018|1130|22131298.63
30/06/2018|1210|21239761.6
30/06/2018|1220|5633158
30/06/2018|1230|64745515
30/06/2018|1310|54363775
30/06/2018|1320|3124301
30/06/2018|1330|2356633
30/06/2018|1410|500000392
30/06/2018|1420|124521667
30/06/2018|1430|14526528
30/06/2018|1440|23523592
30/06/2018|1510|70000605
30/06/2018|2110|-1244476
30/06/2018|2120|-1451943
30/06/2018|2210|-14115516.91
30/06/2018|2220|-849844.69
30/06/2018|2310|-149999314
30/06/2018|2320|-49999672
30/06/2018|3110|-399999661
30/06/2018|3120|-491253746
30/06/2018|4110|-5940428.13
30/06/2018|4120|-795715.89
30/06/2018|4130|-907409.89
30/06/2018|4310|2414846.37
30/06/2018|4210|1214837.19
30/06/2018|4220|179871.56
31/07/2018|1110|131355601.21
31/07/2018|1120|76334907.03
31/07/2018|1130|21725342.97
31/07/2018|1210|21237904.72
31/07/2018|1220|5633158
31/07/2018|1230|64745515
31/07/2018|1310|54363775
31/07/2018|1320|3124301
31/07/2018|1330|2356633
31/07/2018|1410|500000392
31/07/2018|1420|124521667
31/07/2018|1430|14526528
31/07/2018|1440|23523592
31/07/2018|1510|70000605
31/07/2018|2110|-1244476
31/07/2018|2120|-1451943
31/07/2018|2210|-14114629.49
31/07/2018|2220|-850688.21
31/07/2018|2310|-149999314
31/07/2018|2320|-49999672
31/07/2018|3110|-399999661
31/07/2018|3120|-491253746
31/07/2018|4110|-6996085.41
31/07/2018|4120|-932061.03
31/07/2018|4130|-1061425.02
31/07/2018|4310|2820802.03
31/07/2018|4210|1422501.99
31/07/2018|4220|210475.21
31/08/2018|1110|132364108.55
31/08/2018|1120|76441857.33
31/08/2018|1130|21318386.11
31/08/2018|1210|21242378.66
31/08/2018|1220|5633158
31/08/2018|1230|64745515
31/08/2018|1310|54363775
31/08/2018|1320|3124301
31/08/2018|1330|2356633
31/08/2018|1410|500000392
31/08/2018|1420|124521667
31/08/2018|1430|14526528
31/08/2018|1440|23523592
31/08/2018|1510|70000605
31/08/2018|2110|-1244476
31/08/2018|2120|-1451943
31/08/2018|2210|-14111593.11
31/08/2018|2220|-850130.46
31/08/2018|2310|-149999314
31/08/2018|2320|-49999672
31/08/2018|3110|-399999661
31/08/2018|3120|-491253746
31/08/2018|4110|-8069974.67
31/08/2018|4120|-1069493.43
31/08/2018|4130|-1212457.24
31/08/2018|4310|3227758.89
